starttime	seconds	ctime	dtime	ttime	wait
Sun Nov 05 18:12:45 2023	1699197165	0	25	25	25
Sun Nov 05 18:12:46 2023	1699197166	0	25	25	25
Sun Nov 05 18:12:46 2023	1699197166	0	25	25	25
Sun Nov 05 18:12:47 2023	1699197167	0	26	26	26
Sun Nov 05 18:12:46 2023	1699197166	0	26	26	26
Sun Nov 05 18:12:45 2023	1699197165	0	26	26	26
Sun Nov 05 18:12:46 2023	1699197166	0	27	27	27
Sun Nov 05 18:12:46 2023	1699197166	0	27	27	27
Sun Nov 05 18:12:47 2023	1699197167	0	28	28	28
Sun Nov 05 18:12:45 2023	1699197165	0	28	28	10
Sun Nov 05 18:12:47 2023	1699197167	0	30	30	30
Sun Nov 05 18:12:46 2023	1699197166	0	31	31	30
Sun Nov 05 18:12:45 2023	1699197165	0	32	32	32
Sun Nov 05 18:12:45 2023	1699197165	0	34	34	34
Sun Nov 05 18:12:45 2023	1699197165	0	37	37	37
Sun Nov 05 18:12:46 2023	1699197166	0	46	46	46
Sun Nov 05 18:12:45 2023	1699197165	0	49	49	49
Sun Nov 05 18:12:45 2023	1699197165	0	50	50	50
Sun Nov 05 18:12:45 2023	1699197165	1	50	50	50
Sun Nov 05 18:12:46 2023	1699197166	0	52	52	52
Sun Nov 05 18:12:46 2023	1699197166	0	54	54	54
Sun Nov 05 18:12:45 2023	1699197165	0	61	61	61
